image,class,confidence
0000280_03001_d_0000627.jpg,car,0.6188845634460449
0000280_03001_d_0000627.jpg,pedestrian,0.45771846175193787
0000280_03001_d_0000627.jpg,car,0.28872358798980713
0000280_03001_d_0000627.jpg,car,0.2695792317390442
0000291_04001_d_0000888.jpg,car,0.4294118285179138
0000291_04001_d_0000888.jpg,pedestrian,0.29794609546661377
0000291_04001_d_0000888.jpg,car,0.29450181126594543
0000271_06401_d_0000404.jpg,car,0.6964808702468872
0000271_06401_d_0000404.jpg,car,0.6221710443496704
0000271_06401_d_0000404.jpg,car,0.5470919013023376
0000271_06401_d_0000404.jpg,car,0.5356335639953613
0000271_06401_d_0000404.jpg,car,0.4830130338668823
0000271_06401_d_0000404.jpg,car,0.4044245183467865
0000271_06401_d_0000404.jpg,car,0.3282322287559509
0000271_06401_d_0000404.jpg,car,0.32046493887901306
0000271_06401_d_0000404.jpg,car,0.31401047110557556
0000271_06401_d_0000404.jpg,car,0.2912888824939728
0000271_06401_d_0000404.jpg,car,0.2534101903438568
0000335_02353_d_0000055.jpg,car,0.5537949800491333
0000335_02353_d_0000055.jpg,car,0.34235119819641113
0000335_02353_d_0000055.jpg,car,0.2835529148578644
0000335_02353_d_0000055.jpg,car,0.2534399926662445
